concept_id,concept_name,status,concept_oid,last_update_date,last_update_note,concept_type,content_source,external_source_detail,concept_scope,value_set_search_notes,code,code_description,coding_system_id,coding_system_version
1,Myocardial Infarction,reviewed,,2024-03-14,,condition,Tuva-developed,,"All codes that indicate myocardial infarction (MI) including prior MI, e.g. ""old myocardial infarction"".  Note that all MIs are acute at the time they occur, and the process of MI is not a chronic one.  Sometimes the phrase ""chronic MI"" is used to indicate an MI that occurred far enough in the past that the acute physiologic effects have stabilized.","Candidate codes were identified for review  based on search terms:
1. stemi
2. infarct 
and ICD-10-CM code range I21*-I124*",22298006,Myocardial infarction (disorder),1,http://snomed.info/sct/731000124108/version/20240301
2,Alcohol Use Disorder,reviewed,,2024-03-14,,condition,Tuva-developed,,"Included:
1. Specifically asserted ""alcohol use disorder""
2. Assertions of alcohol ""abuse""
3. Assertions of alcohol ""dependence""
4. Assertions of ""alcoholism""

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. References to alcohol use without further assertion of one of the included conditions listed above, even if one of the individual DSM-5 diagnostic criteria for alcohol use disorder (e.g. ""withdrawal"") is specified.

Scope note: The term ""use disorder"" with regard to psychoactive substances has become widespread since its adoption in DSM-5 in 2013.  By design, the phrase is intended to subsume the disease concepts of ""abuse"" and ""dependence"" of a psychoactive substance.  Not all use of a psychoactive substance meets the diagnostic criteria for use disorder, so this value set may not identify all individuals who are known to their health care team to use alcohol.  In addition, the diagnosis of a ""use disorder"" does not definitively indicate current use of the substance, as the diagnosis (with the qualification of ""in remission"") applies to individuals who are abstinent, even on a long-term basis, after having previously met the criteria for the use disorder.  Note also that individuals with health conditions caused by alcohol may not be captured by this value set as they may not meet the criteria of alcohol use disorder, particularly if they had an idiosyncratic response to a low or moderate level of alcohol consumption.","Candidate codes were identified for review based on search terms:
1. alcohol
2. ethanol",719848005,Disorder caused by alcohol (disorder),1,http://snomed.info/sct/731000124108/version/20240301
3,Alzheimer Disease,reviewed,,2024-03-18,,condition,Tuva-developed,,"Included:
1. Any assertion of Alzheimer's disease or Alzheimer's dementia

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Dementia without specification as to type","Candidate codes were identified for review based on search terms:
1. alzheimer
2. dementia
and ICD-10-CM code range G30.*",26929004,Alzheimer's disease (disorder),1,http://snomed.info/sct/731000124108/version/20240301
4,Amyotrophic Lateral Sclerosis,reviewed,,2024-03-14,,condition,Tuva-developed,,"Includes only codes that explicitly indicate the presence of amyotrophic lateral sclerosis (ALS), rather than other motor neuron diseases.  There is some ambiguity around classification of motor neuron diseases, since the diagnostic criteria are based on clinical features rather than more objective features like a laboratory test.  However, while other motor neuron diseases such as progressive muscular atrophy have been posited as a portion of the same disease spectrum as ALS, a conservative approach would be to distinguish them.","Candidate codes were identified for review based on search terms:
amyotroph",86044005,Amyotrophic lateral sclerosis (disorder),1,http://snomed.info/sct/731000124108/version/20240301
5,Anaplasmosis,reviewed,,2024-05-07,Updated 5/2024 to add SNOMED CT codes to value set contents.,condition,Tuva-developed,,"Included: Any illness described as ""anaplasmosis"" or due to the organism Anaplasma phagocytophilum.  Note that the organism now known A. phagocytophilum was previously identified by the names Ehrlichia phagocytophila and Ehrlichia equi, and the illness caused by this organism, which is known known as ""human granulocytic anaplasmosis"", was previously known as ""human granulocytic ehrlichiosis"".

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Disease due to Ehrlichia chaffeensis, which is generally referedde to as ""human monocytic ehrlichiosis"" or sometimes just ""ehrlichiosis"".
2. Disease due to other species of the genus Ehrlichia, e.g. E. ewingii or E. muris eauclairensis","Candidate codes were identified for review based on search terms:
1. anaplasm
4. phagocytophil
3. ehrlich",13906002,Anaplasmosis (disorder),1,http://snomed.info/sct/731000124108/version/20240301
6,Anxiety Disorders,reviewed,,2024-03-14,,condition,Tuva-developed,,"In general, this concept includes anxiety disorders and other states characterized by high levels of and/or excessive anxiety.

Included:
1. Any ""anxiety disorder"" with or without further specification
2. Panic disorder
3. Panic attacks
4. Phobias
5. Adjustment disorder with anxiety or anxious mood
6. Anxiety disorder stipulated as being due to another condition, e.g. ""Anxiety disorder due to known physiological condition""
7. Non-anxiety disorders that have anxiety specified as a feature, e.g. ""Vascular dementia, moderate, with anxiety""

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Use of anxiolytic medication
2. Sleep disturbances or disorders
3. References to ""mood disorder"" without further specification of type e.g. depression, anxiety disorder, etc.
4. Use of term ""worried well""
5. References to psychological or psychosocial stress
6. Obsessive-compulsive disorder
7. Post-Traumatic Stress Disorder (PTSD).  While PTSD may involve profound anxiety, it is classified (e.g. in DSM-5-TR) separately from anxiety disorders, and anxiety is not specifically required for diagnosis.","Candidate codes were identified for review based on search terms:
1. anxi
2. fear
3. phobi
4. panic
5. afraid
6. scared
And ICD-10-CM code ranges: F40*-F41*",197480006,Anxiety disorder (disorder),1,http://snomed.info/sct/731000124108/version/20240301
7,Asthma,reviewed,,2024-03-14,,condition,Tuva-developed,,"Included:
1. Concepts that specify asthma of any level of severity or type

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Bronchospasm, except that exercise-induced bronchospasm shall be in scope.
2. Bronchiolitis
3. Wheezing
4. ""Reactive airways disease"" (this is term that is variably used, and does not reliably indicate the presence of asthma as the latter is currently understood).","Candidate codes were identified for review based on search terms:
1. asthm
2. bronchospas",195967001,Asthma (disorder),1,http://snomed.info/sct/731000124108/version/20240301
8,Atrial Fibrillation,reviewed,,2024-03-14,,condition,Tuva-developed,,"Included:
1. Concepts that specify atrial fibrillation

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Atrial flutter
2. Ventricular arrhythmias","Candidate codes were identified for review based on search terms:
1. fibril
And ICD-10-CM code ranges: I48*-I49*",49436004,Atrial fibrillation (disorder),1,http://snomed.info/sct/731000124108/version/20240301
9,Attention Deficit-Hyperactivity Disorder,reviewed,,2024-03-14,,condition,Tuva-developed,,"Included:
1. Concepts that specify attention deficit disorder or attention deficit/hyperactivity disorder

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Unspecified mentions of attention difficulties
2. Unpsecified mentions of hyperactivity or impulsivity","Candidate codes were identified for review based on search terms:
1. adhd
2. attention
3. hyperact

And ICD-10-CM code range: F90.*",406506008,Attention deficit hyperactivity disorder (disorder),1,http://snomed.info/sct/731000124108/version/20240301
10,Babesiosis,reviewed,,2024-05-03,Updated 5/2024 to add SNOMED CT codes to value set contents and update search terms and scope.,condition,Tuva-developed,,"Included:
1. Concepts that specify any infection with organisms in the genus Babesia, whether or not symptoms are specified, and including asymptomatic infection.
2. Concepts that specify a positive diagnostic test for babesiosis, e.g. findings on blood smear indicative of babesiosis.

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Disease due to organisms in the genus Theileria.  While these organisms are taxonomically related to Babesia, it is unclear whether they cause illness in humans and if/when they do, such illness would be unlikely to be referred to as ""babesiosis"".","Candidate codes were identified for review based on search terms:
1. babes
2. microti
3. nuttall
4. piroplas
5. texas AND fever",21061004,Babesiosis (disorder),1,http://snomed.info/sct/731000124108/version/20240301
11,Bipolar Affective Disorder,reviewed,,2024-03-14,,condition,Tuva-developed,,"Included:
1. Bipolar affective disorder, including all subtypes

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Mention of a manic state without a stipulation that the patient has bipolar affective disorder.","Candidate codes were identified for review based on search terms:
1. mani
2. bipolar",13746004,Bipolar disorder (disorder),1,http://snomed.info/sct/731000124108/version/20240301
12,Breast Cancer,reviewed,,2024-03-14,,condition,Tuva-developed,,"Included:
1. Primary malignant neoplasm of breast
2. Primary carcinoma in situ of breast
3. Assertions of malignant neoplasm, or carcinoma in situ, of breast, without assertions as to whether primary or secondary.
4. Codes for estrogen receptor status that imply presence of breast cancer (e.g. ICD-10-CM Z17.*)
5. Personal history of any of the above

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Malignant neoplasms arising from skin of breast (e.g. malignant melanoma of skin of breast)
2. Lymphoma involving the breast
3. Malignant neoplasm of breast specified as secondary (i.e. cancer that has metastasized TO the breast)
4. Neoplasms of breast (including in-situ neoplasms) that are not specified as malignant, including neoplasms of ""uncertain behavior"".
5. Codes for general ""hormone sensitivity"" of a malignancy that do not specify the type of malignancy (e.g. ICD-10-CM Z19.*)","Candidate codes were identified for review based on search terms:
1. (cancer OR malign OR carcinoma OR paget OR orange OR neoplasm) AND (breast OR mamm OR nipple OR areola)
2. ""estrogen receptor""
And ICD-10-CM code ranges: C50*, D05*",126926005,Neoplasm of breast (disorder),1,http://snomed.info/sct/731000124108/version/20240301
13,Celiac Disease,reviewed,,2024-03-14,,condition,Tuva-developed,,"Included:
1. Celiac disease or celiac sprue, regardless of manifestation or symptomatic state

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Unspecified references to gluten intolerance","Candidate codes were identified for review based on search terms:
1. celiac
2. sprue
3. gluten",396331005,Celiac disease (disorder),1,http://snomed.info/sct/731000124108/version/20240301
14,Chronic Obstructive Pulmonary Disease,reviewed,,2024-03-14,,condition,Tuva-developed,,"Included:
1. ""COPD"" without further specification
2. Pulmonary emphysema (including ""emphysema"" with no other clarifying language)
3. Chronic bronchitis
4. An assertion of ""asthma-COPD overlap""

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Asthma
2. ""Pre-COPD""
3. Any assertion of airways obstruction, even if chronic, without further assertion of one of the included conditions listed above, since these can occur with other underlying conditions, e.g. cystic fibrosis or bronchiectasis.
4. Any assertion of a chronic respiratory symptom without further assertion of one of the included conditions listed above.
5.  ""Compensatory"" emphysema, which is a response to lung tissue loss or deflation.
6. ""Interstitial"" emphysema, which is a type of air trapping around blood vessels in the lungs and primarily affects newborns.
7. Bronchitis that is not specified as chronic
8. Bronchiolitis obliterans, without further assertion of one of the included conditions listed above (despite the fact that ICD-10-CM includes this condition in the section on COPD, a review of other sources indicates that it does not seem generally to be considered a subtype of COPD).

Scope note: It is acknowledged that the inclusion of emphysema and chronic bronchitis may constitute a broadening of the scope of COPD beyond some strict definitions that hold that in the absence of persistent postbronchodilator airflow limitation, COPD is not present.  However, in practice, postbronchodilator airflow limitation is common in both conditions, and common convention considers these conditions to constitute types of COPD.  Asthma is excluded because individuals with asthma but whose airways obstruction is completely reversible are not considered to have COPD.","Candidate codes were identified for review based on search terms:
1. copd
2. bronchiti
3. emphysema
4. obstruct
And ICD-10-CM code ranges: J41*-J44*",13645005,Chronic obstructive pulmonary disease (disorder),1,http://snomed.info/sct/731000124108/version/20240301
15,Cocaine Use Disorder,reviewed,,2024-03-14,,condition,Tuva-developed,,"Included:
1. Specifically asserted ""cocaine use disorder""
2. Assertions of cocaine ""abuse""
3. Assertions of cocaine ""dependence""

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. References to cocaine use without further assertion of one of the included conditions listed above, even if one of the individual DSM-5 diagnostic criteria for cocaine use disorder (e.g. ""withdrawal"") is specified.

Scope note: The term ""use disorder"" with regard to psychoactive substances has become widespread since its adoption in DSM-5 in 2013.  By design, the phrase is intended to subsume the disease concepts of ""abuse"" and ""dependence"" of a psychoactive substance.  Not all use of a psychoactive substance meets the diagnostic criteria for use disorder, so this value set may not identify all individuals who are known to their health care team to use cocaine.  In addition, the diagnosis of a ""use disorder"" does not definitively indicate current use of the substance, as the diagnosis (with the qualification of ""in remission"") applies to individuals who are abstinent, even on a long-term basis, after having previously met the criteria for the use disorder.","Candidate codes were identified for review based on search terms:
1. cocaine",1187220002,Disorder caused by cocaine (disorder),1,http://snomed.info/sct/731000124108/version/20240301
16,Colorectal Cancer,reviewed,,2024-03-14,,condition,Tuva-developed,,"Adenocarcinoma is the most common histologic type of colorectal malignancy, and the intent of this concept is to facilitate identification of such cases.  Much of the time, if a case is stated as ""colorectal cancer"" without mention of histologic type, the intent is to describe colorectal adenocarcinoma.

Included:
1. Primary malignant neoplasm of colon or rectum with histologic type unspecified or specified as adenocarcinoma
2. Primary carcinoma in situ of colon or rectum
3. Malignant neoplasm of colon or rectum with histologic type unspecified or specified as adenocarcinoma, unspecified as to whether primary or secondary.
4. Personal history of any of the above.

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Lymphoma involving the colon or rectum
2. Carcinoid tumors of the colon or rectum
3. Gastrointestinal stromal tumor of colon or rectum
4. Malignant neoplasm of the anus
5. Malignant neoplasm of colon or rectum specified as secondary (i.e. cancer that has metastasized TO the colon or rectum)
6. Neoplasms of colon or rectum (including in-situ neoplasms) that are not specified as malignant, including neoplasms of ""uncertain behavior"".
7. Polyps of colon or rectum","Candidate codes were identified for review based on search terms:
1. (cancer OR malign OR carcinoma OR neoplasm) AND (colo OR rect OR bowel OR sigmoid OR cecum OR cecal OR appendi OR hepatic flexure OR splenic flexure)
And ICD-10-CM code ranges: C18* - C21.*",1286877004,Malignant neoplasm of cecum and/or colon and/or rectum (disorder),1,http://snomed.info/sct/731000124108/version/20240301
17,COVID-19,reviewed,,2024-05-13,Updated 5/2024 to add SNOMED CT codes to value set contents.,condition,Tuva-developed,,"Generally, any history of COVID-19.  If an analysis requires identifying data with a specific temporal relation to COVID-19 infection, it will be necessary to query for metadata that may provide information as to the timing of the infection.

Included:
1. Any concepts that indicate infection with SARS-CoV-2 (the virus that causes COVID-19), including asymptomatic infection.
2. Assertion of a history of COVID-19
3. Assertion of a post-COVID-19 sequela

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Diagnostic concepts that refer generally to coronaviruses (including SARS-associated coronaviruses generally, since that may refer to SARS-CoV-1).
2. Assertions of exposure to SARS-CoV-2
3. Suspicion of COVID-19 without a confirmed diagnosis.","Candidate codes were identified for review based on search terms:
1. coronavirus
2. covid
3. sars
4. 2019",840539006,Disease caused by severe acute respiratory syndrome coronavirus 2 (disorder),1,http://snomed.info/sct/731000124108/version/20240301
18,Osteoarthritis,reviewed,,2024-03-14,,condition,Tuva-developed,,"Included:
1. Assertions of osteopoarthritis
2. Assertions of ""degenerative joint disease""
3. Heberden nodes or Bouchard nodes, which are generally considered to be pathognomonic of osteoarthritis

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Assertions of ""arthritis"" alone
2. Arthritis with specified type other than osteoarthritis, e.g. psoriatic arthritis
3. Symptoms that may be due to osteoarthritis, e.g. joint stiffness","Candidate codes were identified for review based on search terms:
1. osteoarthitis
2. (osteo)arthritis
3. degenerative joint
4. primary arthritis
5. djd
6. spondyloarthritis
7. heberden
8. bouchard
9. osteoarthosis
10. spondyloarthrosis
and ICD-10-CM code ranges: M15*-M19*",396275006,Osteoarthritis (disorder),1,http://snomed.info/sct/731000124108/version/20240301
19,Osteoporosis,reviewed,,2024-03-14,,condition,Tuva-developed,,"Included:
1. Assertions of osteoporosis
2. Osteoporotic fracture
3. History of any of the above

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Osteopenia
2. Specific measurements of bone density
3. Mentions of pathologic fracture or fracture with minimal trauma","Candidate codes were identified for review based on search terms:
1. osteopor
2. bone density
ICD-10-CM code ranges: M80*-M81*",64859006,Osteoporosis (disorder),1,http://snomed.info/sct/731000124108/version/20240301
20,Deep Vein Thrombosis of Extremities or Central Veins,reviewed,,2024-03-14,,condition,Tuva-developed,,"In general, this condition represents deep vein thrombosis in an upper or lower extremity (i.e. arm or leg), or in a ""central vein"" (which are the veins that are close to the heart, generally defined as veins for which no venous valves are found between the vein and the heart).  The significance of this scope is that these are thromboses that pose a particular risk for pulmonary embolism.

Included:
1. Thrombosis of any ""deep vein"" in the upper extremity, described as a ""deep vein"" or with reference to the specific vein (including the brachial, axillary, and/or subclavian veins)
2. Thrombosis of any ""deep vein"" in the lower extremity, whether proximal or distal to the knee, described as a ""deep vein"" or with reference to the specific vein (including the common femoral vein, deep femoral vein, femoral vein, popliteal vein, peroneal vein, anterior and posterior tibial veins, and so-called ""muscular veins of the calf"")
3. Thrombosis of deep veins of the torso, including renal vein and deep thoracic veins (including the internal jugular vein).
4. Thrombosis of a central vein, so described or naming the specific vein (including the brachiocephalic, subclavian, and common and external iliac veins, as well as the superior and inferior vena cava).

Notes-
1. Codes using the phrasing of ""embolism and thrombosis of <deep vein>"" are considered in scope.
2. While ""thrombophlebitis"" implies thrombosis (with the added pathophysiologic feature of inflammation), terms phrased as ""phlebitis and thrombophlebitis"" imply a scope that includes both thrombophlebitis and isolated inflammation of a vein without thrombos (i.e. ""phlebitis"").  Since such codes do not necessarily imply the presence of thrombosis, they are not considered in scope.


Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Venous thrombosis or thromboembolism without specification of deep vein involvement
2. Cerebral venous thrombosis.  This condition is generally considered as distinct from DVT of the extremities or pelvis, primarily because a) it does not pose the same risk for pulmonary embolism as extremity or pelvic DVT, and also b) the risk factors are somewhat distinct and b) not all cerebral veins are considered ""deep veins"".
3. Retinal vein occlusion, for the same reasons as #2 above
4. Portal vein thrombosis, since the liver is interposed between the portal vein and the heart.
5. Hemorrhoidal and perianal venous thrombosis, since the involved veins are not considered ""deep veins"".
6. Varicose veins
7. Phlebitis","Candidate codes were identified for review based on search terms:
1. dvt
2. ven + thromb
3. vein + thromb
ICD-10-CM code ranges: I82*",128053003,Deep venous thrombosis (disorder),1,http://snomed.info/sct/731000124108/version/20240301
21,"Pulmonary Embolism, Thrombotic or Unspecified",reviewed,,2024-03-14,,condition,Tuva-developed,,"Included:
1. Any assertion of pulmonary embolism either specified as relating to a thrombosis or not specified
2. Stated history of #1

Not included-Any of the following without assertion of one of the conditions in the ""included"" list above:
1. Obstetrical emboli
2. Fat emboli
3. Air emboli
4. Amniotic fluid embolism
(Rationale for not including the categories listed above-These conditions are distinct physiologically, epidemiologically, and in terms of management approaches from emboli related to thrombosis","Candidate codes were identified for review based on search terms:
1. (thromb OR embol OR clot) + (lung OR pulm)
2. group 4
ICD-10-CM code ranges: I26*-I27*",59282003,Pulmonary embolism (disorder),1,http://snomed.info/sct/731000124108/version/20240301
